Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,JD,D-N,DJF,MAM,JJA,SON
1985,31,5,26,19,23,28,6,35,26,16,10,16,20,19,13,23,23,17
1986,38,50,37,42,32,15,15,19,1,12,11,20,24,24,34,37,17,8
1987,43,53,24,39,29,55,59,25,35,35,30,56,40,37,39,31,46,33
1988,66,48,56,49,62,58,44,55,54,51,14,35,49,51,56,55,53,40
1989,28,45,46,42,22,18,46,51,53,44,21,38,38,38,36,37,38,39
1990,51,42,86,62,52,46,62,43,30,52,52,46,52,51,43,67,50,45
1991,48,61,47,71,43,70,63,56,61,34,32,34,52,53,52,54,63,43
1992,50,43,54,23,26,29,8,14,-6,7,2,25,23,24,42,34,17,1
1993,38,41,34,30,27,26,38,22,10,22,9,21,27,27,35,30,29,14
1994,39,8,25,52,25,56,40,23,44,41,51,43,37,35,23,34,40,45
1995,56,89,50,58,38,51,63,58,46,67,52,40,56,56,63,49,57,55
1996,41,60,45,48,34,33,55,77,41,33,49,52,47,46,47,42,55,41
1997,47,54,65,38,42,66,34,43,50,60,71,69,53,52,51,48,48,60
1998,71,119,82,83,94,104,91,87,60,68,65,81,84,83,87,87,94,64
1999,68,87,48,43,49,63,65,55,67,63,58,53,60,62,79,47,61,63
2000,31,79,69,76,56,69,63,60,57,34,48,47,57,58,54,67,64,46
2001,59,64,69,62,73,66,71,66,70,62,84,73,68,66,57,68,67,72
2002,97,91,112,80,87,66,82,69,82,64,69,54,79,81,87,93,72,71
2003,91,74,71,69,87,64,65,86,83,89,66,85,77,75,73,76,72,79
2004,71,92,85,76,48,64,24,58,59,83,87,67,68,69,83,70,49,76
2005,97,88,93,84,75,82,80,75,96,99,90,89,87,85,84,84,79,95
2006,74,93,81,67,50,77,68,83,72,84,87,93,77,77,85,66,76,81
2007,123,92,91,93,94,66,78,86,82,80,69,70,85,87,102,93,77,77
2008,49,44,91,66,57,52,72,40,80,74,80,72,65,64,54,71,54,78
2009,75,76,65,75,79,82,86,86,91,73,85,75,79,79,74,73,85,83
2010,95,104,113,101,96,86,74,83,88,96,100,70,92,93,92,103,81,94
2011,73,66,77,84,65,74,91,96,78,85,78,79,79,78,70,75,87,80
2012,61,58,71,80,96,71,58,86,90,95,94,72,78,78,66,82,72,93
2013,98,78,86,67,68,88,66,79,99,86,87,84,82,81,82,73,78,91
2014,95,64,80,89,104,77,73,86,107,104,82,97,88,87,81,91,79,98